district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Whately,03370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546164.58,121,116,13156.67303,550.2434715,1286.254261,1609.240109,2176.999453,10.3,NA,11,17,18,16,13,15,11,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Whitman-Hanson,07800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55351671.52,3556,3583,8280.939378,359.477366,1111.531697,1182.36418,2406.172135,15.8,NA,80,204,248,238,262,265,270,268,309,322,240,285,283,302,7,NA,NA,NA,NA,NA
Whittier Regional Vocational Technical,08850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26391818,1282,1249,11445.81234,901.6526678,2744.117271,1762.359011,4183.466923,19.1,NA,0,0,0,0,0,0,0,0,0,0,335,341,305,268,0,NA,NA,NA,NA,NA
Williamsburg,03400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3739562.22,138,119,12280.51751,581.5290922,1510.571694,1616.172552,3533.095068,19,NA,4,6,12,23,12,17,24,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Wilmington,03420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61784533,2801,2830,10164.44969,540.28271,1587.204382,1712.711875,3212.740524,16.9,NA,16,196,221,212,249,216,250,198,268,249,168,192,201,194,0,6,2,201571,NA,4
Winchendon,03430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20489510.46,1206,1178,9089.534408,620.3335465,1510.633137,1359.403706,1898.567134,22,NA,56,91,77,90,97,109,87,87,86,101,73,66,75,83,0,NA,NA,NA,NA,NA
Winchester,03440000,0.02,0.02,NA,NA,75339,76704,NA,50208,51212,NA,108030,110191,NA,NA,72449287.14,4362,4496,9902.760332,675.5626243,1074.55865,858.1761024,2048.765207,16.4,NA,50,236,346,335,325,355,362,348,388,348,344,348,337,374,0,13,6,218500,218500,4
Winthrop,03460000,0.02,0.03,NA,NA,60035,69689,NA,48893,50115,NA,88641,90857,NA,NA,29276469.96,1883,1865,8829.499822,537.784046,941.7584829,1006.485678,2547.478082,15.2,NA,15,124,161,149,124,149,130,137,162,157,139,132,135,146,5,4,4,167718,176281,4
Woburn,03470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88251249.6,4295,4279,10435.17412,627.8243705,1603.523424,1435.504114,3884.546056,17.6,NA,104,285,335,336,313,321,315,337,327,370,280,288,343,313,12,3,NA,200000,209000,5
Worcester,03480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453689004.8,23735,23986,9861.589498,409.6090727,1583.212923,1005.788957,2970.537708,21.2,NA,794,1529,1876,1851,1800,1765,1751,1834,1761,1733,1935,1849,1766,1683,59,NA,NA,NA,NA,NA
Worthington,03490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2059119.08,67,63,8869.717978,641.7617978,2432.051124,1181.800899,2774.958202,23.8,NA,2,10,7,7,14,9,9,5,0,0,0,0,0,0,0,3,3,101000,0,3
Wrentham,03500000,0.01,0.01,NA,NA,68688,69316,NA,40813,41221,NA,104662,107279,NA,NA,17675022,921,862,10486.98656,660.7491271,1435.75283,1446.851127,3484.521215,18.9,NA,48,102,103,103,133,122,118,133,0,0,0,0,0,0,0,7,7,168100,180000,3
