district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Medfield,01750000,0.02,0.025,NA,NA,74315,75991,NA,49166,50275,NA,106387,108786,NA,NA,44347560.74,2530,2511,11031.67866,464.7582287,1373.29162,1258.166071,1943.242309,12.4,NA,36,163,188,192,190,196,211,191,186,183,185,201,192,195,2,NA,NA,NA,NA,NA
Medford,01760000,0.02,NA,NA,NA,73016,NA,NA,53954,NA,NA,100834,NA,NA,NA,97019284,4024,3943,12041.79203,457.9200742,1272.794789,1393.468286,5233.312809,19.5,NA,66,268,279,282,283,305,294,304,309,280,307,352,303,304,7,3,3,202000,202000,3
Medway,01770000,NA,0.025,NA,NA,NA,70675.17,NA,NA,49875.5,NA,NA,97111.87,NA,NA,36988293.94,2108,2074,9473.255177,423.7842574,1221.82606,1332.697209,2873.869561,17,0.725,27,143,152,146,148,149,167,161,178,172,143,160,176,152,0,5,5,200400,200400,3
Melrose,01780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54463574.56,3748,3701,7328.71322,463.5348463,1130.190314,823.9622071,2110.922048,16.7,NA,118,300,296,304,312,320,298,274,278,272,221,222,245,235,6,5,1,183000,NA,3
Mendon-Upton,07100000,0.03,0.03,NA,NA,66268.73081,68256.79273,NA,49688.31,51178.96,NA,88215.6375,90862.10663,NA,NA,39475297.09,2141,2166,8983.69055,421.8032714,1914.361277,1419.553294,2855.440928,15.9,NA,47,136,154,156,166,146,156,165,195,208,153,151,175,155,3,10,10,171312,NA,7
Methuen,01810000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106761138.2,6439,6450,8230.39779,369.4022478,1470.418389,979.8748459,1984.071206,19.6,NA,82,365,475,481,501,492,502,513,548,585,432,510,492,472,0,3,3,187500,187500,3
Middleborough,01820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48975261.14,3011,2916,8755.509436,342.0323703,1634.920537,1034.444059,2843.829659,19.1,NA,49,202,213,209,230,218,215,226,256,265,213,210,218,185,7,6,6,184900,2900,5
Middleton,01840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13843967,708,678,11874.52093,791.2529551,1600.877486,1408.31456,2404.598804,15.8,NA,60,98,87,101,80,83,81,88,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Milford,01850000,0.03,0.03,NA,NA,68353,75083,NA,53717,55194,NA,98326,101030,NA,NA,72657471.05,4309,4235,9438.178198,384.2495334,1338.250839,943.4005248,2698.364629,17.1,0.7,92,295,301,288,314,324,332,330,347,355,309,348,304,280,16,5,5,195580,195580,4
Millbury,01860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30348559,1601,1587,9660.635934,438.0549645,1482.124704,1342.432033,3158.212766,19.1,NA,55,91,121,118,124,96,117,132,120,151,119,130,93,119,1,7,7,168204,172204,6
Millis,01870000,0.02,0.03,NA,NA,73027,76600,NA,50635,52154,NA,106592,109789,NA,NA,21877312.77,1175,1156,10937.10029,758.856205,1277.080195,1295.389293,2652.25815,13.7,0.7,42,82,83,78,99,82,82,105,77,94,96,72,72,92,0,13,13,205767,205767,2
Milton,01890000,0.02,0.02,NA,NA,80506,81321,NA,51072,52093,NA,107744,109899,NA,NA,69859324.05,4352,4355,9216.100347,498.498119,1000.186975,1129.120542,2626.871888,16,0.5,94,311,370,367,384,394,351,344,307,306,293,272,277,276,9,1,1,180000,NA,1
Minuteman Regional Vocational Technical,08300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20735951.19,655,635,19832.42116,3018.578496,2922.62533,2730.450198,5613.761544,44.1,NA,0,0,0,0,0,0,0,0,0,0,179,180,134,142,0,14,14,211000,211000,2
Mohawk Trail,07170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21822886,762,739,12494.85043,885.252849,2769.431387,1744.241453,4947.745726,24.1,NA,53,41,54,61,62,62,60,62,55,66,35,28,46,50,4,6,1,148500,148000,2
Monomoy Regional School District,07120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40066656.55,1763,1763,NA,NA,NA,NA,NA,16.9,NA,21,102,114,118,137,143,153,158,140,181,112,124,133,121,6,12,8,187917,3600,3
Monson,01910000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18190219,838,858,9958.858631,740.5739395,2153.426278,1551.094716,2685.998698,19.5,NA,33,64,69,68,60,67,73,78,72,58,47,40,66,59,4,NA,NA,NA,NA,NA
Montachusett Regional Vocational Technical,08320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30159816.47,1413,1417,11122.07189,829.3243118,2893.830123,2629.173129,3253.44499,14.4,NA,0,0,0,0,0,0,0,0,0,0,355,354,363,345,0,NA,NA,NA,NA,NA
Mount Greylock,07150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21471821.93,1153,1093,10322.22431,599.6980925,1503.460029,1881.613093,3385.503953,14.2,NA,18,56,64,82,76,95,89,85,77,86,115,89,73,87,1,16,1,169400,169500,3
Mystic Valley Regional Charter (District),04700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21547970,1586,1629,NA,NA,NA,NA,NA,11.4,NA,0,162,159,150,153,123,123,124,149,126,125,87,62,86,0,NA,NA,NA,NA,NA
Nahant,01960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4676690,164,147,8246.302682,2203.128991,851.5197957,2356.679438,2473.754789,21.1,NA,13,28,20,14,15,18,20,19,0,0,0,0,0,0,0,21,5,52000,0,2
Nantucket,01970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40149714,1672,1666,13170.52056,614.454339,1617.027851,2937.213722,5179.558929,16,NA,49,114,119,114,114,88,117,144,151,129,133,141,139,109,5,NA,NA,NA,NA,NA
Narragansett,07200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22236369,1393,1327,7703.12,441.4270085,1382.933333,1282.435556,2649.92547,18.8,NA,50,89,110,103,104,113,103,113,123,117,89,77,77,55,4,5,5,156060,159660,5
Narragansett,07200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22236369,1393,1327,7703.12,441.4270085,1382.933333,1282.435556,2649.92547,18.8,NA,50,89,110,103,104,113,103,113,123,117,89,77,77,55,4,11,1,160000,160000,3
Nashoba,07250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59652269.39,3088,3086,10876.30027,484.3235971,1870.53871,1531.565946,2822.569905,17.4,NA,62,216,198,210,228,240,234,266,247,265,223,200,255,236,6,NA,NA,NA,NA,NA
Nashoba Valley Regional Vocational Technical,08520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14693528.42,736,726,11897.83907,913.3035202,2309.118603,2107.720078,3194.69637,33.6,NA,0,0,0,0,0,0,0,0,0,0,190,179,180,176,1,NA,NA,NA,NA,NA
Natick,01980000,0.02,0.03,NA,NA,77337.225,79657.31,NA,48965,50434,NA,106719,109921,NA,NA,94514242.9,5308,5251,9986.891826,524.9098944,1636.125863,1010.914667,2312.172751,14.8,0.62,76,332,393,417,405,414,422,430,411,401,379,380,383,408,0,3,3,204000,215000,6
Nauset,06600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34482232,1366,1426,12375.73425,583.3461616,2262.310445,1302.974141,4106.281142,17.7,NA,0,0,0,0,0,0,0,174,190,207,192,209,219,234,1,NA,NA,NA,NA,NA
Needham,01990000,0.02,0.0225,NA,NA,78290.31731,80051.83654,NA,51858,53024,NA,109435,111898,NA,NA,111833201.2,5515,5483,11631.19552,813.0089292,1148.82929,1317.652269,3254.281499,17.4,NA,50,333,401,426,438,428,442,394,461,440,424,377,445,423,1,15,15,240155,257155,3
Neighborhood House Charter (District),04440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15665275,764,810,NA,NA,NA,NA,NA,20.4,NA,39,37,39,43,44,43,63,68,86,82,81,68,63,54,0,NA,NA,NA,NA,NA
New Bedford,02010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231122377.2,12504,12565,9285.539832,489.7828623,1884.358138,1129.02794,2787.137582,22.2,NA,286,956,1037,1078,1057,1157,1049,981,1026,1066,788,805,719,560,0,7,3,207000,208500,3
New Heights Charter School of Brockton (District),35130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10138551,744,742,NA,NA,NA,NA,NA,9.3,NA,0,0,0,0,0,0,0,117,122,123,98,93,101,88,0,2,2,231000,246000,5
New Salem-Wendell,07280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3097202,130,129,12723.97798,1096.978665,1446.097729,1637.653131,4212.904336,16.3,NA,9,16,17,22,16,18,17,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Newburyport,02040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44640645.39,2150,2126,10359.59929,591.9730105,1387.037697,1235.443982,3645.79127,19.3,NA,42,107,132,137,122,141,147,161,165,171,202,211,178,207,3,3,3,177000,181000,2
Newton,02070000,0.025,0.025,0.0275,NA,97439.35616,99875.34007,107365.9906,73572.98,75412.31,81068.23,124803.12,127923.19,137517.43,NA,269597506,11974,12024,12917.26533,508.9681641,1329.356254,1473.16969,3634.996525,18.3,0.7,125,674,819,854,870,928,909,998,956,949,928,978,1017,990,29,NA,NA,NA,NA,NA
Norfolk,02080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16139749,1031,987,10513.85384,633.1462602,1259.432724,1070.644998,2250.372464,18.5,NA,52,162,122,133,122,139,144,113,0,0,0,0,0,0,0,9,9,170195,175895,3
Norfolk County Agricultural,09150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12969506.87,588,588,11665.9,1612.916439,1927.174586,3663.165847,4741.815037,23.3,NA,0,0,0,0,0,0,0,0,0,0,158,149,152,129,0,4,4,163247,housing,3
North Adams,02090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28939033.71,1257,1223,10539.09222,556.523525,2330.23301,1367.637043,4284.789395,25.7,NA,77,75,93,94,94,99,92,79,91,125,88,77,64,72,3,9,4,141166,145166,3
North Andover,02110000,0.015,0.01,NA,NA,70338,78651,80617.275,48958,49447,NA,99117,102040,NA,NA,71668072.51,4493,4510,8576.00267,450.8226423,1749.529238,976.0478712,2291.372582,17.4,NA,60,283,326,344,334,337,345,371,372,361,335,311,357,374,0,NA,NA,NA,NA,NA
North Attleborough,02120000,0.02,0.03,NA,NA,69877,NA,NA,49534,NA,NA,96157,NA,NA,NA,60907031.38,3969,3936,8203.043882,397.661985,1100.849931,956.4058338,2590.06236,18.5,NA,141,258,264,276,274,311,330,283,325,385,286,261,267,275,0,4,4,205000,215000,3
North Brookfield,02150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10012487.82,454,503,8646.749991,842.6421884,1542.133152,1417.717111,2860.299764,23.9,NA,23,39,39,30,39,44,33,40,43,40,49,23,33,28,0,5,4,141644,145664,5
North Middlesex,07350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53126771.07,2989,2893,8876.478719,399.2008673,1401.445553,1318.496758,2904.873678,22.4,NA,36,225,206,212,216,216,228,225,252,284,187,178,210,211,7,3,3,203606,217056,5
North Reading,02170000,NA,0.03,0.025,0.025,NA,72160,73964,NA,49269,50501,NA,97277,99709,NA,42552332.31,2321,2309,10391.33745,455.0773518,1313.099568,1295.960917,2867.592931,18.1,0.7,40,175,200,146,173,173,191,174,190,185,130,181,164,186,1,1,1,175100,178400,3
North Reading,02170000,NA,0.03,0.025,0.025,NA,72160,73964,NA,49269,50501,NA,97277,99709,NA,42552332.31,2321,2309,10391.33745,455.0773518,1313.099568,1295.960917,2867.592931,18.1,0.7,40,175,200,146,173,173,191,174,190,185,130,181,164,186,1,12,12,187500,187500,2
Northampton,02100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48114609.44,2618,2579,9444.434313,554.6965497,1275.320957,1324.600627,2902.580422,20.6,NA,46,143,174,190,187,197,158,204,206,213,191,236,210,223,1,10,7,172200,NA,5
Northampton-Smith Vocational Agricultural,04060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11193851.88,547,528,13678.40978,1361.23967,1482.82579,2526.621525,3431.699618,40.7,NA,0,0,0,0,0,0,0,0,0,0,140,148,117,123,0,4,4,122606,122606,4
Northboro-Southboro,07300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26406617.83,1269,1355,11227.16268,466.2155516,2013.607891,1292.638908,2902.054157,15.2,NA,0,0,0,0,0,0,0,0,0,0,314,321,320,390,10,NA,NA,NA,NA,NA
Northborough,02130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32164875.22,1550,1527,12082.18649,530.200474,1062.166534,1219.588231,3204.517737,19.7,NA,0,146,168,158,166,180,192,174,160,183,0,0,0,0,0,NA,NA,NA,NA,NA
Northbridge,02140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34326867.85,1975,1924,9240.349748,461.4730836,1328.419745,1290.577183,2522.590394,18.4,NA,57,145,151,114,127,148,150,172,191,144,134,132,145,114,0,2,2,144500,145500,3
Northeast Metropolitan Regional Vocational Technical,08530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29244049.33,1307,1281,12859.22106,1729.054289,3236.456465,1657.274577,3613.552508,25.5,NA,0,0,0,0,0,0,0,0,0,0,332,322,326,301,0,4,4,192000,199000,5
Northern Berkshire Regional Vocational Technical,08510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10575913.18,523,506,12874.16359,1054.990057,1900.688807,2287.01927,3472.296084,15.6,NA,0,0,0,0,0,0,0,0,0,0,128,142,122,114,0,3,3,126409,126409,3
Northern Berkshire Regional Vocational Technical,08510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10575913.18,523,506,12874.16359,1054.990057,1900.688807,2287.01927,3472.296084,15.6,NA,0,0,0,0,0,0,0,0,0,0,128,142,122,114,0,27,26,142762,NA,3
Norton,02180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40914286.48,2376,2358,8998.978167,480.0373104,1260.467437,1184.222222,2699.593551,21.8,NA,69,175,160,149,178,174,172,189,206,202,163,180,162,175,4,12,8,190080,200125,6
Norwell,02190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37977083.83,2186,2182,9819.758897,517.4210193,1407.398209,1151.378547,2826.005987,15.8,NA,33,156,180,155,170,163,175,164,162,180,156,155,166,166,1,10,10,205260,230730,4
Norwood,02200000,NA,0.02,0.02,0.02,NA,74682,75569,NA,49501,50491,NA,103797,106392,NA,66487986.55,3444,3387,10253.69051,548.0571716,1407.920147,1489.194304,2993.667044,21.8,0.8,83,267,270,269,267,277,263,258,215,245,224,261,252,231,5,4,4,174000,181720,4
Oak Bluffs,02210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11779421.11,427,414,15812.89647,639.6166433,1315.095839,1674.97195,5450.951379,22.5,NA,7,46,36,44,27,50,52,50,50,52,0,0,0,0,0,NA,NA,NA,NA,NA
Old Colony Regional Vocational Technical,08550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12357617.34,563,563,12651.48925,1261.492861,2758.815001,1708.60835,3906.858847,23.3,NA,0,0,0,0,0,0,0,0,0,0,150,151,132,130,0,5,5,155000,155000,3
Old Rochester,07400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20381586.14,1087,1130,10202.00204,515.302476,1583.547299,1432.09053,3490.464562,12.5,NA,0,0,0,0,0,0,0,0,203,211,152,168,200,190,6,1,1,172000,180200,3
Old Sturbridge Academy Charter Public School (District),35150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3384896.81,320,280,NA,NA,NA,NA,NA,20,NA,0,40,40,40,40,40,40,40,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Orange,02230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9432320.5,536,465,9431.444687,725.2274381,1700.753275,701.7194323,2560.642285,29.4,NA,11,54,65,71,62,71,70,61,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Orleans,02240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5746653.56,164,175,16622.8255,1751.979434,1814.832905,1386.529563,6184.061697,19.3,NA,0,17,24,29,32,36,37,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Oxford,02260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25581372.62,1466,1458,8659.180019,638.1731749,1420.186492,1124.351648,2401.676096,17.4,NA,38,64,100,116,99,141,126,117,115,140,110,94,91,96,11,10,1,150000,150000,1
Palmer,02270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23451471.38,1186,1188,9408.425018,606.351758,1727.349567,968.5576674,3303.239713,18.3,NA,20,88,83,97,106,111,83,88,110,121,62,73,60,81,5,7,6,NA,146627,4
Pathfinder Regional Vocational Technical,08600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15238965.95,629,610,14210.50499,1385.229881,2457.502638,1951.323705,4257.6243,26.9,NA,0,0,0,0,0,0,0,0,0,0,156,161,150,143,0,NA,NA,NA,NA,NA
Paulo Freire Social Justice Charter School (District),35010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5063534.52,243,263,NA,NA,NA,NA,NA,25.9,NA,0,0,0,0,0,0,0,0,0,0,69,67,63,64,0,NA,NA,NA,NA,NA
Peabody,02290000,0.02,0.02,NA,NA,69053.02,70434.08,NA,47437.48,48386,NA,93402.47,95271,NA,NA,97155413.72,5881,5776,9097.265976,363.7921437,1105.391854,859.6086112,3118.10142,19.9,NA,153,409,469,470,428,459,445,476,500,467,386,381,359,372,2,1,1,200000,208600,3
Pelham,02300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2373551,117,107,11782.0305,574.1573034,1060.417335,1303.547352,4168.12199,21.5,NA,0,16,10,17,14,20,16,14,0,0,0,0,0,0,0,5,5,167000,170000,3
Pembroke,02310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45498191.32,2563,2599,8952.103072,463.8540731,1332.728082,1072.527953,2788.682979,15.2,NA,49,166,161,188,190,179,209,218,201,230,194,204,199,208,3,6,6,190840,195940,5
Pentucket,07450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40937199,2210,2224,9194.250926,529.5383591,1433.534113,1192.22953,2721.05066,21.3,NA,81,134,161,161,163,156,168,179,145,203,143,161,178,191,0,3,3,178606,NA,5
Petersham,02340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863805,113,123,8232.902494,497.7626606,995.1398337,1156.439909,1963.537415,21.8,NA,0,15,19,24,10,19,16,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Phoenix Academy Public Charter High School Lawrence (District),35180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2675877.2,138,159,NA,NA,NA,NA,NA,23.3,NA,0,0,0,0,0,0,0,0,0,0,120,4,35,0,0,NA,NA,NA,NA,NA
Phoenix Academy Public Charter High School Springfield (District),35080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3005853,175,208,NA,NA,NA,NA,NA,28.8,NA,0,0,0,0,0,0,0,0,0,0,149,1,49,9,0,NA,NA,NA,NA,NA
Phoenix Charter Academy (District),04930000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4849663,185,221,NA,NA,NA,NA,NA,11.3,NA,0,0,0,0,0,0,0,0,0,0,162,2,43,14,0,NA,NA,NA,NA,NA
Pioneer Charter School of Science (District),04940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11421434.67,775,794,NA,NA,NA,NA,NA,8.9,NA,0,63,59,63,63,66,65,67,64,59,60,57,55,53,0,NA,NA,NA,NA,NA
Pioneer Charter School of Science II (PCSS-II) (District),35060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5377469.24,376,370,NA,NA,NA,NA,NA,13,NA,0,0,0,0,0,0,0,0,64,67,62,61,63,53,0,NA,NA,NA,NA,NA
Pioneer Valley,07500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15282748.06,657,631,10519.90335,841.9630338,2688.655294,1798.925993,4558.183378,22,NA,23,43,34,42,49,53,52,55,57,63,40,47,23,50,0,NA,NA,NA,NA,NA
Pioneer Valley Chinese Immersion Charter (District),04970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9997607.31,572,560,NA,NA,NA,NA,NA,10.7,NA,0,44,44,45,44,44,44,62,55,56,31,23,40,28,0,NA,NA,NA,NA,NA
Pioneer Valley Performing Arts Charter Public (District),04790000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7189709.38,400,391,NA,NA,NA,NA,NA,21.5,NA,0,0,0,0,0,0,0,0,72,72,68,62,58,59,0,3,3,133350,138350,5
Pittsfield,02360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104711228,4953,5012,10312.04205,378.002393,1460.263803,1415.82265,4224.262245,22.2,NA,62,343,353,379,436,374,355,363,343,382,417,394,396,401,14,16,7,169153,177000,6
Plainville,02380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13506649.37,656,623,9847.57926,742.462036,1171.605737,1851.515748,3453.489876,19.3,NA,42,64,85,82,89,88,88,85,0,0,0,0,0,0,0,22,14,181826,181826,2
Plymouth,02390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146388568.7,7196,7085,10093.25065,555.7566501,1724.745034,1166.371926,3833.661109,20,NA,142,458,482,508,513,512,461,535,532,608,616,580,578,559,1,NA,NA,NA,NA,NA
Plympton,02400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4164910.54,241,209,11083.40727,661.5314167,1064.837075,1476.926495,1631.029853,17.4,NA,0,30,39,28,28,27,38,19,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Prospect Hill Academy Charter (District),04870000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23367134,1096,1107,NA,NA,NA,NA,NA,14.2,NA,0,60,86,87,91,94,87,86,100,94,96,89,65,72,0,NA,NA,NA,NA,NA
Provincetown,02420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6960403.66,141,133,26730.1819,2004.476007,2381.854977,3907.909955,10439.13847,18,NA,24,11,8,10,10,11,15,16,18,10,0,0,0,0,0,NA,NA,NA,NA,NA
Quabbin,07530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38532219.7,2223,2095,9035.175138,491.9893011,2031.388567,1580.751354,2704.376401,19.1,NA,69,135,168,136,167,134,139,166,181,168,176,135,160,155,6,NA,NA,NA,NA,NA
Quaboag Regional,07780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20664142.4,1141,1161,NA,NA,NA,NA,NA,18.6,NA,37,64,75,74,91,78,93,115,88,85,89,98,80,94,0,12,12,163898,170898,3
Quincy,02430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171310179.6,9404,9480,9080.972267,351.039643,1031.625336,1189.985249,4134.935572,19.7,NA,299,677,743,747,718,689,676,688,708,680,688,703,737,714,13,NA,NA,NA,NA,NA
Ralph C Mahar,07550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14295401.35,557,619,10072.95116,674.7383444,2958.336505,1558.009832,3428.829686,25.2,NA,0,0,0,0,0,0,0,0,127,127,81,103,92,89,0,NA,NA,NA,NA,NA
Randolph,02440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65238134.91,2571,2660,11712.73118,688.9141743,1851.882642,1145.003251,3766.0525940000002,22.3,NA,66,149,235,221,256,213,204,222,241,211,133,165,166,168,10,3,3,189112,193312,3
Reading,02460000,NA,0.02,0.025,0.025,NA,71933,73787,NA,52661,53977,NA,98717,101185,NA,64001979.99,3846,3951,9507.085002,419.7951682,972.5862661,1138.849536,2206.55896,17.8,NA,97,238,312,316,290,270,312,319,288,287,299,301,292,330,0,NA,NA,NA,NA,NA
Revere,02480000,NA,0.03,0.03,0.02,NA,76381.84,78291.37,NA,50196,51451,NA,106678,109345,NA,130910956.5,7141,7166,8942.713983,442.9256438,1422.503795,1050.454073,2283.745772,17,0.8,95,471,561,557,555,565,560,516,608,619,563,540,463,484,9,6,6,208800,218300,5
Richmond,02490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3868474.62,157,152,#¡VALOR!,648.1091442,2332.890739,1788.528136,3407.919285,16.4,NA,12,16,14,12,18,14,17,14,17,18,0,0,0,0,0,NA,NA,NA,NA,NA
Rising Tide Charter Public (District),04830000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11069300.28,655,666,NA,NA,NA,NA,NA,19.8,NA,0,0,0,0,0,0,91,91,90,87,85,75,80,67,0,NA,NA,NA,NA,NA
River Valley Charter (District),04820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4848478,288,288,NA,NA,NA,NA,NA,16,NA,0,30,34,32,33,32,32,32,32,31,0,0,0,0,0,NA,NA,NA,NA,NA
Rochester,02500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7716539,516,476,9898.522907,500.3751975,948.8487362,852.9581359,2022.908768,19.1,NA,20,51,56,64,74,63,82,66,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
